street_name,street_type,quadrant,rpp_spots
OGDEN,ST,NW,91
OGLETHORPE,ST,NW,136
OKLAHOMA,AVE,NE,77
OLIVE,ST,NE,84
OLIVE,ST,NW,61
OLIVER,ST,NW,97
ONTARIO,PL,NW,66
ONTARIO,RD,NW,198
ORCHARD,LN,NW,32
ORDWAY,ST,NW,383
ORLEANS,PL,NE,49
ORREN,ST,NE,52
OTIS,PL,NW,264
OTIS,ST,NE,142
OWEN,PL,NE,124
P,ST,NW,896
P,ST,SE,64
P,ST,SW,158
PALISADE,LN,NW,20
PARK,PL,NW,147
PARK,RD,NW,542
PARK,ST,NE,25
PARKER,ST,NE,32
PARKGLEN,CT,NW,50
PARKWOOD,PL,NW,55
PATTERSON,ST,NW,68
PEABODY,ST,NW,158
PENN,ST,NE,68
PENNSYLVANIA,AVE,NW,96
PENNSYLVANIA,AVE,SE,556
PERRY,PL,NE,31
PERRY,PL,NW,54
PERRY,ST,NE,68
PHELPS,PL,NW,43
PICKFORD,PL,NE,45
PINEY BRANCH,RD,NW,203
PLEASANT,ST,SE,32
POPLAR,ST,NW,24
PORTAL,DR,NW,161
PORTER,ST,NE,6
PORTER,ST,NW,416
POTOMAC,AVE,NW,41
POTOMAC,AVE,SE,257
POTOMAC,AVE,SW,54
POTOMAC,ST,NW,101
PRIMROSE,RD,NW,77
PRINCETON,PL,NW,132
PROSPECT,ST,NW,146
PROUT,ST,SE,39
PROVIDENCE,ST,NE,42
Q,LN,NW,32
Q,PL,NW,28
Q,ST,NE,57
Q,ST,NW,1247
Q,ST,SE,151
Q,ST,SW,83
QUACKENBOS,ST,NW,37
QUARLES,ST,NE,61
QUARRY,RD,NW,75
QUEBEC,PL,NW,276
QUEBEC,ST,NW,317
QUEEN,ST,NE,14
QUEEN ANNES,LN,NW,16
QUEENS CHAPEL,TER,NE,59
QUINCY,PL,NE,91
QUINCY,PL,NW,52
QUINCY,ST,NE,120
QUINCY,ST,NW,332
R,ST,NE,138
R,ST,NW,983
R,ST,SE,70
R,ST,SW,20
RALEIGH,PL,SE,44
RALEIGH,ST,SE,77
RANDLE,CIR,SE,37
RANDOLPH,PL,NE,68
RANDOLPH,PL,NW,112
RANDOLPH,ST,NE,37
RANDOLPH,ST,NW,307
RENO,RD,NW,565
RESERVOIR,RD,NW,539
RHODE ISLAND,AVE,NE,296
RHODE ISLAND,AVE,NW,401
RICHARDSON,PL,NW,18
RIDGE,PL,SE,70
RIDGE,ST,NW,63
RIGGS,PL,NW,116
RIGGS,RD,NE,80
RIGGS,ST,NW,50
RITTENHOUSE,ST,NW,284
RIVER,RD,NW,269
ROCK CREEK,DR,NW,115
ROCK CREEK CHURCH,RD,NE,100
ROCK CREEK CHURCH,RD,NW,201
ROCK CREEK FORD,RD,NW,105
ROCKWOOD,PKWY,NW,278
RODMAN,ST,NW,273
ROSEDALE,ST,NE,119
ROSS,PL,NW,14
ROXANNA,RD,NW,252
ROXBORO,PL,NW,37
S,ST,NE,46
S,ST,NW,810
S,ST,SE,198
SAINT MARYS,PL,NW,10
SALEM,LN,NW,76
SANDY SPRING,RD,NW,49
SARATOGA,AVE,NE,50
SAVANNAH,PL,SE,22
SAVANNAH,ST,SE,58
SCOTT,CIR,NW,4
SCOTT,PL,NW,12
SEATON,PL,NE,52
SEATON,PL,NW,122
SEATON,ST,NW,47
SEDGWICK,ST,NW,249
SEWARD,SQ,SE,70
SHANNON,PL,SE,127
SHEPHERD,RD,NW,32
SHEPHERD,ST,NE,55
SHEPHERD,ST,NW,370
SHERIDAN,ST,NE,28
SHERIDAN,ST,NW,322
SHERIER,PL,NW,201
SHERMAN,AVE,NW,269
SHERMAN,CIR,NW,49
SIGSBEE,PL,NE,28
SIMMS,PL,NE,74
SKYLAND,PL,SE,79
SLIGO MILL,RD,NE,85
SOMERSET,PL,NW,250
SOUTH CAPITOL,ST,BN,48
SOUTH CAPITOL,TER,SW,47
SOUTH CAROLINA,AVE,SE,318
SOUTH DAKOTA,AVE,NE,608
SOUTHERN,AVE,NE,32
SOUTHERN,AVE,SE,245
SPRING,PL,NW,54
SPRING,RD,NW,82
SPRINGDALE,ST,NW,87
SPRINGLAND,LN,NW,71
SPRUCE,DR,NW,50
STANTON,RD,SE,28
STAPLES,ST,NE,52
SUITLAND,TER,SE,81
SUMMIT,PL,NE,38
SUMMIT,PL,NW,59
SUMMIT,ST,NE,40
SUMNER,RD,SE,103
SURREY,LN,NW,24
SUTERS,LN,NW,16
SUTTON,PL,NW,108
SWANN,ST,NW,242
T,PL,SE,18
T,ST,NE,115
T,ST,NW,719
T,ST,SE,145
TALBERT,ST,SE,42
TAMARACK,ST,NW,42
TAYLOR,ST,NE,89
TAYLOR,ST,NW,294
TENNESSEE,AVE,NE,230
TERRACE,RD,SE,103
TEXAS,AVE,SE,51
THOMAS,ST,NW,50
THOMAS JEFFERSON,ST,NW,14
THOMPSON,CIR,NW,10
TILDEN,ST,NW,381
TINDALL,ST,NW,62
TODD,PL,NE,113
TRACY,PL,NW,123
TRINIDAD,AVE,NE,151
TUCKERMAN,ST,NW,301
TUNLAW,RD,NW,195
U,PL,SE,22
U,ST,NE,122
U,ST,NW,296
U,ST,SE,90
UHLAND,TER,NE,32
UNDERWOOD,ST,NW,318
UNIVERSITY,AVE,NW,105
UNIVERSITY,PL,NW,43
UPSHUR,ST,NE,136
UPSHUR,ST,NW,312
UPTON,ST,NW,432
URELL,PL,NE,54
V,ST,NE,188
V,ST,NW,441
V,ST,SE,148
VALLEY,TER,SE,98
VAN BUREN,ST,NW,429
VAN NESS,ST,NW,612
VARNUM,ST,NE,173
VARNUM,ST,NW,172
VEAZEY,ST,NW,197
VEAZEY,TER,NW,46
VENABLE,PL,NW,35
VERBENA,ST,NW,158
VERMONT,AVE,NW,263
VERNON,ST,NW,49
VERPLANCK,PL,NW,100
VIRGINIA,AVE,NW,116
VIRGINIA,AVE,SE,222
VOLTA,PL,NW,149
W,PL,NW,34
W,ST,NE,86
W,ST,NW,441
W,ST,SE,100
WADE,RD,SE,35
WAGNER,ST,SE,47
WALLACH,PL,NW,29
WALNUT,ST,NW,88
WALTER,ST,SE,40
WARD,PL,NW,20
WARDER,ST,NW,168
WARNER,ST,NW,37
WARREN,ST,NE,42
WARREN,ST,NW,462
WASHINGTON,CIR,NW,21
WATER,ST,SW,31
WATERSIDE,DR,NW,103
WATSON,PL,NW,63
WATSON,ST,NW,153
WEAVER,TER,NW,21
WEBSTER,ST,NE,43
WEBSTER,ST,NW,247
WESLEY,CIR,NW,14
WEST LANE,KYS,NW,6
WEST VIRGINIA,AVE,NE,50
WESTERN,AVE,NW,210
WESTMINSTER,ST,NW,45
WESTOVER,PL,NW,119
WHITE,PL,SE,34
WHITEHAVEN,PKWY,NW,225
WHITEHAVEN,ST,NW,119
WHITTIER,PL,NW,170
WHITTIER,ST,NW,190
WILLARD,ST,NW,74
WILLOW,ST,NW,67
WILTBERGER,ST,NW,34
WINDOM,PL,NW,335
WINFIELD,LN,NW,106
WISCONSIN,AVE,NW,487
WOODLAND,DR,NW,280
WOODLEY,PL,NW,140
WOODLEY,RD,NW,416
WOODWAY,LN,NW,33
WYLIE,ST,NE,42
WYOMING,AVE,NW,290
XENIA,ST,SE,34
YOST,PL,NE,52
YUMA,ST,NW,587
YUMA,ST,SE,115
